Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
200,happy,feliz,8.37,1.48,6.97,2.74,6.44,2.39,5,2,A,75,0,UnAv,UnAv,UnAv
460,ugly,feo,3.08,1.81,4.16,2.19,3.88,2.11,3,2,A,18.21,6,UnAv,UnAv,UnAv
749,festive,festivo,7.97,1.20,6.47,2.46,5.36,2.52,7,3,N,2.86,1,UnAv,UnAv,UnAv
169,foul,fétido,2.14,1.37,5.31,2.06,3.94,2.12,6,3,A,0.89,1,UnAv,UnAv,UnAv
750,fever,fiebre,1.86,1.27,4.03,2.62,2.98,2.06,6,2,N,26.43,1,5.32,5.69,4.74
305,party,fiesta,8.26,1.08,7.66,1.63,5.96,2.29,6,2,N,63.57,1,6.7,4.27,6.25
572,sky,firmamento,7.79,1.53,4.80,2.74,4.14,2.80,10,4,N,8.21,0,5.24,5.1,5
443,toothache,flemón,1.96,1.37,5.36,2.26,3.39,2.20,6,2,N,0.18,1,UnAv,UnAv,UnAv
848,limber,flexible,5.91,1.73,4.84,2.21,5.29,2.12,8,3,A,11.25,0,UnAv,UnAv,UnAv
168,flower,flor,7.34,1.67,4.46,2.36,5.69,2.09,4,1,N,33.04,1,6.74,5.37,6.25
44,blossom,florecer,7.49,1.42,5.38,2.21,4.81,2.29,8,3,V,2.32,0,5.77,4.07,5.04
167,flabby,fofo,3.01,1.60,4.02,1.97,4.49,2.06,4,2,A,0.89,6,UnAv,UnAv,UnAv
925,pamphlet,folleto,4.79,1.22,4.33,1.66,5.38,1.97,7,3,N,4.82,0,5.73,4.69,5.71
411,stink,follón,2.62,1.66,6.77,1.85,4.04,2.28,6,2,N,2.32,1,UnAv,UnAv,UnAv
780,haphazard,fortuito,5.89,1.60,5.57,2.09,3.59,2.13,8,3,A,3.39,1,UnAv,UnAv,UnAv
156,failure,fracaso,1.64,1.29,5.51,2.76,3.52,2.46,7,3,N,43.39,0,5.5,3.94,3.45
170,fragrance,fragancia,7.76,1.38,5.22,2.57,5.97,2.19,9,3,N,2.86,0,4.51,4.35,4.75
171,fraud,fraude,1.86,1.23,5.82,2.08,3.29,2.16,6,2,N,13.75,0,UnAv,UnAv,UnAv
693,cold,frío,3.21,2.04,4.98,2.30,4.33,2.74,4,2,A/N,98.75,1,UnAv,UnAv,UnAv
177,frustrated,frustrado,1.88,1.07,5.10,2.30,3.19,1.96,9,3,A/V,0,0,UnAv,UnAv,UnAv
166,fire,fuego,5.00,2.42,6.51,2.20,3.97,2.34,5,2,N,80.36,4,6.77,5.67,6.57
414,strong,fuerte,6.30,1.67,5.88,2.07,5.32,2.53,6,2,A,126.43,3,6.61,3.8,4.68
178,funeral,funeral,1.48,1.19,5.06,2.85,2.50,2.09,7,3,N,5,0,5.64,5.99,5.87
492,whore,furcia,2.66,1.84,4.86,2.17,4.23,2.40,6,2,N,1.07,0,UnAv,UnAv,UnAv
593,gun,fusil,2.08,1.27,6.41,1.93,3.26,2.16,5,2,N,5.18,2,3.37,5.92,5.78
331,profit,ganancias,7.58,1.67,6.34,2.16,5.30,2.25,9,3,N,0,0,UnAv,UnAv,UnAv
494,win,ganar,7.84,1.55,7.68,1.39,6.12,2.15,5,2,V,71.07,3,6.65,3.87,5.32
181,gangrene,gangrena,1.68,1.53,6.62,2.21,2.82,2.21,8,3,N,2.32,0,UnAv,UnAv,UnAv
517,kitten,gatito,6.96,2.14,4.86,2.36,5.73,2.32,6,3,N,0,1,UnAv,UnAv,UnAv
504,cat,gato,6.13,2.14,4.94,2.27,5.14,2.33,4,2,N,37.68,15,UnAv,UnAv,UnAv
758,frigid,gélido,3.28,1.85,4.97,2.12,4.08,2.00,6,3,A,1.43,1,UnAv,UnAv,UnAv
763,gender,género,4.87,1.58,4.90,1.65,4.84,1.73,6,3,N,49.64,1,5.77,2.55,2.57
840,lavish,generoso,7.57,1.42,5.53,2.06,5.67,2.25,8,4,A,13.75,1,UnAv,UnAv,UnAv
431,terrific,genial,7.98,1.02,6.62,2.20,6.37,2.14,6,2,A,12.14,0,UnAv,UnAv,UnAv
525,people,gente,6.53,1.64,6.24,1.88,4.57,1.90,5,2,N,278.21,3,6.5,3.82,6.63
764,germs,gérmenes,1.78,1.14,6.26,1.83,3.42,2.24,8,3,N,0,0,UnAv,UnAv,UnAv
515,gymnast,gimnasta,5.91,1.83,5.42,2.26,5.26,2.05,8,3,N,0.54,1,UnAv,UnAv,UnAv
186,glacier,glaciar,5.76,1.96,5.03,1.88,4.10,2.11,7,2,N,1.96,1,UnAv,UnAv,UnAv
187,glamour,glamour,5.94,2.15,5.51,1.95,5.47,1.67,7,2,N,0,0,UnAv,UnAv,UnAv
189,glory,gloria,6.90,1.65,5.80,1.98,5.51,2.00,6,2,N,51.43,0,5.87,2.8,3.76
145,enjoyment,goce,8.09,1.42,6.62,2.56,5.80,2.18,4,2,N,9.29,2,4.93,3.78,4.73
535,golfer,golfista,4.43,2.05,4.33,2.19,5.18,2.21,8,3,N,0.89,1,UnAv,UnAv,UnAv
594,hit,golpe,2.33,1.75,6.03,2.17,3.74,2.06,5,2,N,69.64,0,5.99,4.79,5.33
160,fat,gordo,3.56,1.71,4.89,2.11,4.84,2.05,5,2,A,23.21,5,UnAv,UnAv,UnAv
192,graduate,graduado,7.09,1.76,6.16,2.04,6.59,1.88,8,3,A/N,0.71,1,UnAv,UnAv,UnAv
771,grenade,granada,3.42,2.67,6.61,2.03,3.87,2.53,7,3,N,18.04,2,UnAv,UnAv,UnAv
