Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
abduction,621,2.76,2.06,5.53,2.43,3.49,2.38,1
abortion,622,3.5,2.3,5.39,2.8,4.59,2.54,6
